Name,Link
Abasyn University,https://web.archive.org/reviews/11019.htm
Abbottabad University of Science and Technology,https://web.archive.org/reviews/17715.htm
Abdul Wali Khan University Mardan,https://web.archive.org/reviews/14616.htm
Aga Khan University,https://web.archive.org/reviews/3488.htm
Air University,https://web.archive.org/reviews/7536.htm
Alhamd Islamic University,https://web.archive.org/reviews/12321.htm
Ali Institute of Education,https://web.archive.org/reviews/15192.htm
Al-Khair University,https://web.archive.org/reviews/3489.htm
Bacha Khan University,https://web.archive.org/reviews/15180.htm
Bahauddin Zakariya University,https://web.archive.org/reviews/3494.htm
Bahria University,https://web.archive.org/reviews/3495.htm
Balochistan University of Engineering and Technology,https://web.archive.org/reviews/7538.htm
"Balochistan University of Information Technnology, Engineering and Management Sciences",https://web.archive.org/reviews/3496.htm
Baqai Medical University,https://web.archive.org/reviews/3497.htm
Beaconhouse National University,https://web.archive.org/reviews/7568.htm
Benazir Bhutto Shaheed University Lyari,https://web.archive.org/reviews/15175.htm
CECOS University,https://web.archive.org/reviews/7569.htm
City University of Science and Information Technology,https://web.archive.org/reviews/7570.htm
Commecs Institute of Business and Emerging Sciences,https://web.archive.org/reviews/14623.htm
COMSATS Institute of Information Technology,https://web.archive.org/reviews/3498.htm
Dadabhoy Institute of Higher Education,https://web.archive.org/reviews/7571.htm
Dawood University of Engineering and Technology,https://web.archive.org/reviews/10824.htm
DHA Suffa University,https://web.archive.org/reviews/15196.htm
DOW University of Health Sciences,https://web.archive.org/reviews/7539.htm
FATA University,https://web.archive.org/reviews/15166.htm
Fatima Jinnah Women University,https://web.archive.org/reviews/7540.htm
"Federal Urdu University of Arts, Sciences and Technology Islamabad",https://web.archive.org/reviews/7541.htm
Forman Christian College,https://web.archive.org/reviews/10816.htm
Foundation University Islamabad,https://web.archive.org/reviews/7572.htm
Gandhara University,https://web.archive.org/reviews/3504.htm
Ghazi University,https://web.archive.org/reviews/15168.htm
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,https://web.archive.org/reviews/3505.htm
GIFT University,https://web.archive.org/reviews/3506.htm
Global Institute,https://web.archive.org/reviews/14627.htm
Gomal University,https://web.archive.org/reviews/3507.htm
"Government College for Women University, Sialkot",https://web.archive.org/reviews/15169.htm
"Government College University, Faisalabad",https://web.archive.org/reviews/3508.htm
"Government College University, Lahore",https://web.archive.org/reviews/3509.htm
"Government College Women University, Faisalabad",https://web.archive.org/reviews/15167.htm
Greenwich University,https://web.archive.org/reviews/3510.htm
Habib University,https://web.archive.org/reviews/15197.htm
Hajvery University,https://web.archive.org/reviews/3511.htm
Hamdard University,https://web.archive.org/reviews/3513.htm
Hazara University,https://web.archive.org/reviews/7542.htm
HITEC University,https://web.archive.org/reviews/14621.htm
Ilma University,https://web.archive.org/reviews/3514.htm
Imperial College of Business Studies,https://web.archive.org/reviews/7574.htm
"Indus University, Pakistan",https://web.archive.org/reviews/10823.htm
Indus Valley School of Art and Architecture,https://web.archive.org/reviews/7575.htm
Information Technology University,https://web.archive.org/reviews/15171.htm
Institute of Business Administration,https://web.archive.org/reviews/3515.htm
Institute of Business Management,https://web.archive.org/reviews/3501.htm
Institute of Management Sciences,https://web.archive.org/reviews/7543.htm
Institute of Southern Punjab,https://web.archive.org/reviews/14588.htm
Institute of Space Technology,https://web.archive.org/reviews/10812.htm
"International Islamic University, Islamabad",https://web.archive.org/reviews/3517.htm
Iqra National University,https://web.archive.org/reviews/14626.htm
Iqra University,https://web.archive.org/reviews/10822.htm
Islamia College Peshawar,https://web.archive.org/reviews/15181.htm
Isra University,https://web.archive.org/reviews/3518.htm
Jinnah Sindh Medical University,https://web.archive.org/reviews/15176.htm
Jinnah University for Women,https://web.archive.org/reviews/3519.htm
Karachi Institute of Economics and Technology,https://web.archive.org/reviews/3520.htm
Karachi School for Business and Leadership,https://web.archive.org/reviews/15198.htm
Karakurum International University,https://web.archive.org/reviews/7544.htm
KASB Institute of Technology,https://web.archive.org/reviews/10821.htm
Khawaja Freed University of Engineering and Information Technology,https://web.archive.org/reviews/15172.htm
Khushal Khan Khattak University,https://web.archive.org/reviews/15182.htm
Khyber Medical University,https://web.archive.org/reviews/10825.htm
Khyber Pakhtunkhwa Agricultural University,https://web.archive.org/reviews/3516.htm
King Edward Medical University,https://web.archive.org/reviews/10815.htm
Kinnaird College for Women,https://web.archive.org/reviews/7578.htm
Kohat University of Science and Technology,https://web.archive.org/reviews/7545.htm
Lahore College for Women University,https://web.archive.org/reviews/7546.htm
Lahore Garrison University,https://web.archive.org/reviews/15193.htm
Lahore Leads University,https://web.archive.org/reviews/14622.htm
Lahore School of Economics,https://web.archive.org/reviews/7248.htm
Lahore University of Management Sciences,https://web.archive.org/reviews/3522.htm
"Lasbela University of Agriculture, Water and Marine Sciences",https://web.archive.org/reviews/7561.htm
Liaquat University of Medical and Health Sciences,https://web.archive.org/reviews/3523.htm
Mehran University of Engineering and Technology,https://web.archive.org/reviews/3524.htm
Minhaj University,https://web.archive.org/reviews/10814.htm
